miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-miR-582-5p` + `hsa-miR-885-3p`)	PAAD	Unchanged			NS	No data
(`hsa-miR-589-3p` + `hsa-miR-589-5p`)	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.261779517325728 ( Common lymphoid progenitor_XCELL(0.261779517325728) ) Pró-tumoral: 0 (  ) Dualista: 0.058395443823144 ( Hematopoietic stem cell_XCELL(-0.246449702362098), T cell CD4+ Th2_XCELL(0.304845146185242) )
(`hsa-miR-589-5p` + `hsa-miR-942-3p`)	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.292440578856357 ( Granulocyte-monocyte progenitor_XCELL(-0.292440578856357) ) Pró-tumoral: -0.374497228039908 ( Endothelial cell_XCELL(-0.374497228039908) ) Dualista: -0.046735477524475 ( T cell CD4+ Th2_XCELL(0.362545175107388), Hematopoietic stem cell_XCELL(-0.409280652631863) )
(`hsa-miR-590-3p` + `hsa-miR-590-5p`)	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.317717873792539 ( Common lymphoid progenitor_XCELL(0.317717873792539) ) Pró-tumoral: 0 (  ) Dualista: -0.049666685015941 ( Hematopoietic stem cell_XCELL(0.282656123388276), T cell CD4+ memory resting_CIBERSORT(0.244267292280022), T cell CD4+ naive_CIBERSORT(-0.284223083440488), B cell plasma_CIBERSORT(-0.292367017243751) )
(`hsa-miR-590-3p` + `hsa-miR-590-5p`)	TGCT	Unchanged	Frio	Macrophage M2_CIBERSORT, -0.456836939993802, 1, Cold	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -1.46841956068539 ( Macrophage M2_CIBERSORT(-0.456836939993802), Cancer associated fibroblast_XCELL(-0.493386325962532), Endothelial cell_XCELL(-0.518196294729055) ) Dualista: 0.5556491778862 ( Hematopoietic stem cell_XCELL(-0.491037345934156), Class-switched memory B cell_XCELL(0.535077668895233), T cell CD4+ Th2_XCELL(0.511608854925123) )
(`hsa-miR-629-5p` + `hsa-miR-744-3p`)	COAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.344613214973418 ( T cell CD4+ Th1_XCELL(0.344613214973418) ) Pró-tumoral: 0 (  ) Dualista: -0.081774209520701 ( Hematopoietic stem cell_XCELL(-0.40891343991802), T cell CD4+ Th2_XCELL(0.327139230397319) )
(`hsa-miR-7-5p` + `hsa-miR-7-5p` + `hsa-miR-96-5p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.517047871420127 ( T cell CD4+ Th1_XCELL(0.472175257586708), Granulocyte-monocyte progenitor_XCELL(-0.274326144825978), Common lymphoid progenitor_XCELL(0.319198758659397) ) Pró-tumoral: -0.949876489699749 ( Endothelial cell_XCELL(-0.353464147835606), Cancer associated fibroblast_XCELL(-0.596412341864143) ) Dualista: -0.283601365493641 ( T cell follicular helper_CIBERSORT(0.331601477777333), Hematopoietic stem cell_XCELL(-0.508804819651201), T cell CD4+ Th2_XCELL(0.26952805482117), Mast cell activated_CIBERSORT(-0.375926078440943) )
(`hsa-miR-7-5p` + `hsa-miR-7-5p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.518451987496684 ( T cell CD4+ memory activated_CIBERSORT(0.192959305329559), T cell CD4+ Th1_XCELL(0.325492682167125) ) Pró-tumoral: -0.543795854382255 ( Endothelial cell_XCELL(-0.212755036727996), Cancer associated fibroblast_XCELL(-0.331040817654259) ) Dualista: -0.160239729004971 ( T cell CD4+ Th2_XCELL(0.401757198082851), Hematopoietic stem cell_XCELL(-0.328913242509742), Mast cell activated_CIBERSORT(-0.23308368457808) )
(`hsa-miR-7-5p` + `hsa-miR-7-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.541656069393506 ( T cell CD4+ memory activated_CIBERSORT(0.262463995410066), Common lymphoid progenitor_XCELL(0.27919207398344) ) Pró-tumoral: -0.32752682915309 ( Cancer associated fibroblast_XCELL(-0.32752682915309) ) Dualista: -0.223207046707006 ( T cell CD4+ Th2_XCELL(0.389696364275888), Mast cell activated_CIBERSORT(-0.253863582030384), Hematopoietic stem cell_XCELL(-0.35903982895251) )
(`hsa-miR-708-3p` + `hsa-miR-708-5p`)	LIHC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.54079683750581 ( Cancer associated fibroblast_XCELL(0.54079683750581) ) Dualista: -0.322596798595152 ( NK cell resting_CIBERSORT(-0.322596798595152) )
(`hsa-miR-766-3p` + `hsa-miR-98-5p`)	UCEC	Overexpression			NS	No data
(`hsa-miR-767-5p` + `hsa-miR-877-5p` + `hsa-miR-92a-1-5p`)	LUAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.320249614274567 ( Granulocyte-monocyte progenitor_XCELL(-0.320249614274567) ) Pró-tumoral: -0.24939973642336 ( Cancer associated fibroblast_XCELL(-0.24939973642336) ) Dualista: -0.567332246249636 ( Hematopoietic stem cell_XCELL(-0.317374890155852), T cell CD4+ Th2_XCELL(0.313239760766551), Mast cell activated_CIBERSORT(-0.289232521304384), Myeloid dendritic cell resting_CIBERSORT(-0.273964595555951) )
(`hsa-miR-877-5p` + `hsa-miR-942-5p`)	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.298357499944577 ( Granulocyte-monocyte progenitor_XCELL(-0.298357499944577) ) Pró-tumoral: -0.402360209828289 ( Endothelial cell_XCELL(-0.402360209828289) ) Dualista: 0.074116376091955 ( T cell CD4+ Th2_XCELL(0.52256266621942), Hematopoietic stem cell_XCELL(-0.448446290127465) )
(`hsa-miR-9-3p` + `hsa-miR-9-3p`)	BLCA	Unchanged			NS	No data
(`hsa-miR-9-3p` + `hsa-miR-9-3p`)	BRCA	Unchanged	Variável	Macrophage M2_CIBERSORT, -0.189463690218409, 1, Variable	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.189463690218409 ( Macrophage M2_CIBERSORT(-0.189463690218409) ) Dualista: -0.132991236155595 ( Mast cell activated_CIBERSORT(-0.265401656141253), Hematopoietic stem cell_XCELL(-0.18914714388053), T cell CD4+ Th2_XCELL(0.321557563866188) )
(`hsa-miR-9-5p` + `hsa-miR-9-5p`)	BRCA	Unchanged	Variável	Macrophage M2_CIBERSORT, -0.198725156739117, 1, Variable	anti-tumoral	Anti-tumoral: 0.169138028818809 ( T cell CD4+ memory activated_CIBERSORT(0.169138028818809) ) Pró-tumoral: -0.408012588706739 ( Cancer associated fibroblast_XCELL(-0.209287431967622), Macrophage M2_CIBERSORT(-0.198725156739117) ) Dualista: 0.063805033608513 ( Hematopoietic stem cell_XCELL(-0.217062500704056), T cell CD4+ Th2_XCELL(0.402652762400362), Macrophage M0_CIBERSORT(0.176543209167988), Mast cell activated_CIBERSORT(-0.298328437255781) )
(`hsa-miR-9-5p` + `hsa-miR-9-5p`)	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.316427461429771 ( Endothelial cell_XCELL(-0.316427461429771) ) Dualista: 0.579848580961272 ( B cell plasma_CIBERSORT(0.262988395265069), T cell follicular helper_CIBERSORT(0.316860185696203) )
(`hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.471792598762672 ( T cell CD4+ memory activated_CIBERSORT(0.204139655750769), T cell CD4+ Th1_XCELL(0.267652943011903) ) Pró-tumoral: 0.562698142256976 ( Endothelial cell_XCELL(-0.315730821731944), Cancer associated fibroblast_XCELL(-0.246967320525032) ) Dualista: -0.154683206442377 ( Mast cell activated_CIBERSORT(-0.31777470326197), T cell CD4+ Th2_XCELL(0.409876058520363), T cell follicular helper_CIBERSORT(0.196859153579944), Macrophage M0_CIBERSORT(0.198430493763377), Hematopoietic stem cell_XCELL(-0.332707796159337) )
(`hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	LIHC	Unchanged			NS	No data
(`hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	PAAD	Unchanged			NS	No data
(`hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.122435283048572 ( Common lymphoid progenitor_XCELL(-0.260496643885298), Granulocyte-monocyte progenitor_XCELL(-0.266205902841235), T cell CD4+ Th1_XCELL(0.404267263677961) ) Pró-tumoral: 0 (  ) Dualista: -0.084055882860897 ( Hematopoietic stem cell_XCELL(-0.347440524626805), Class-switched memory B cell_XCELL(0.263384641765908) )
(`hsa-miR-95-3p` + `hsa-miR-98-5p`)	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-99b-5p` + `hsa-let-7e-3p`)	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.484097132839485 ( Cancer associated fibroblast_XCELL(0.484097132839485) ) Dualista: 0 (  )
hsa-let-7a-2-3p	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.019523928853905 ( Common lymphoid progenitor_XCELL(0.355859283431922), T cell CD4+ Th1_XCELL(-0.375383212285827) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7a-2-3p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.33671910476179 ( Common lymphoid progenitor_XCELL(-0.33671910476179) ) Pró-tumoral: 0.467816570772761 ( Cancer associated fibroblast_XCELL(0.467816570772761) ) Dualista: 0.339446492952156 ( Hematopoietic stem cell_XCELL(0.339446492952156) )
hsa-let-7a-2-3p	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.239708079309842 ( Cancer associated fibroblast_XCELL(0.239708079309842) ) Dualista: 0 (  )
hsa-let-7a-3p	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.27686528399038 ( Common lymphoid progenitor_XCELL(0.27686528399038) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7a-3p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7a-3p	STAD	Unchanged			NS	No data
hsa-let-7a-5p	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.331638578749253 ( Cancer associated fibroblast_XCELL(-0.331638578749253) ) Dualista: -0.253027751555552 ( Hematopoietic stem cell_XCELL(-0.253027751555552) )
hsa-let-7b-5p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.251974065038652 ( Common lymphoid progenitor_XCELL(0.167163175228933), T cell CD4+ Th1_XCELL(-0.232810835488854), T cell CD4+ memory activated_CIBERSORT(-0.186326404778731) ) Pró-tumoral: 0 (  ) Dualista: 0.077631804151925 ( T cell CD4+ Th2_XCELL(-0.245627234895631), Mast cell activated_CIBERSORT(0.167995430743706) )
hsa-let-7b-5p	LUSC	Underexpression			NS	No data
hsa-let-7b-5p	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.055879187980983 ( T cell regulatory (Tregs)_CIBERSORT(-0.273043437969917), Endothelial cell_XCELL(0.3289226259509) ) Dualista: -0.410305560924104 ( Hematopoietic stem cell_XCELL(0.410305560924104) )
hsa-let-7c-3p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.32925718708525 ( Common lymphoid progenitor_XCELL(-0.32925718708525) ) Pró-tumoral: 0.529720454442568 ( Cancer associated fibroblast_XCELL(0.529720454442568) ) Dualista: 0.504783587991774 ( Hematopoietic stem cell_XCELL(0.504783587991774) )
hsa-let-7c-5p	KICH	Underexpression			NS	No data
hsa-let-7c-5p	KIRP	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.374798086154488 ( Endothelial cell_XCELL(-0.374798086154488) ) Dualista: 0 (  )
hsa-let-7c-5p	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.763256118120278 ( T cell CD4+ Th1_XCELL(-0.381628059060139), T cell CD4+ Th1_XCELL(-0.381628059060139) ) Pró-tumoral: -0.796384677452024 ( Cancer associated fibroblast_XCELL(0.398192338726012), Cancer associated fibroblast_XCELL(0.398192338726012) ) Dualista: -1.21185070541896 ( Mast cell activated_CIBERSORT(0.368460899814699), T cell CD4+ Th2_XCELL(-0.288401500012178), Hematopoietic stem cell_XCELL(0.52586595290696), Mast cell activated_CIBERSORT(0.368460899814699), T cell CD4+ Th2_XCELL(-0.288401500012178), Hematopoietic stem cell_XCELL(0.52586595290696) )
hsa-let-7c-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.088423541439955 ( Hematopoietic stem cell_XCELL(0.340365325306545), T cell CD4+ Th2_XCELL(-0.25194178386659) )
hsa-let-7d-3p	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.320250910551592 ( Cancer associated fibroblast_XCELL(-0.320250910551592) ) Dualista: 0 (  )
hsa-let-7d-3p	BRCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.73223856357405 ( Common lymphoid progenitor_XCELL(0.166637835857419), T cell CD4+ memory activated_CIBERSORT(0.199481445929606), Common lymphoid progenitor_XCELL(0.166637835857419), T cell CD4+ memory activated_CIBERSORT(0.199481445929606) ) Pró-tumoral: -1.41331694482435 ( Endothelial cell_XCELL(-0.3630459479336), Cancer associated fibroblast_XCELL(-0.343612524478575), Endothelial cell_XCELL(-0.3630459479336), Cancer associated fibroblast_XCELL(-0.343612524478575) ) Dualista: -0.139895750928134 ( Hematopoietic stem cell_XCELL(-0.375236829179035), Macrophage M0_CIBERSORT(0.179108909553922), Mast cell activated_CIBERSORT(-0.325315506249913), T cell CD4+ Th2_XCELL(0.451495550410959), Hematopoietic stem cell_XCELL(-0.375236829179035), Macrophage M0_CIBERSORT(0.179108909553922), Mast cell activated_CIBERSORT(-0.325315506249913), T cell CD4+ Th2_XCELL(0.451495550410959) )
hsa-let-7d-3p	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7d-3p	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.297600372796409 ( T cell CD4+ Th1_XCELL(0.297600372796409) ) Pró-tumoral: -0.336450778223474 ( Cancer associated fibroblast_XCELL(-0.336450778223474) ) Dualista: -0.782539685998607 ( Hematopoietic stem cell_XCELL(-0.396226133834813), Mast cell activated_CIBERSORT(-0.386313552163794) )
hsa-let-7d-3p	THCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.275915521510379 ( Cancer associated fibroblast_XCELL(-0.275915521510379) ) Dualista: 0 (  )
hsa-let-7d-3p	UCEC	Overexpression			NS	No data
hsa-let-7d-5p	BRCA	Overexpression	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"Macrophage M1_CIBERSORT""""), c(0.177764766443577, 0.177764766443577), c(1, 1), c(""""Variable"""", """"Variable"""")"	anti-tumoral	Anti-tumoral: 1.13492583297906 ( T cell CD4+ memory activated_CIBERSORT(0.222331084657593), T cell CD4+ Th1_XCELL(0.167367065388358), Macrophage M1_CIBERSORT(0.177764766443577), T cell CD4+ memory activated_CIBERSORT(0.222331084657593), T cell CD4+ Th1_XCELL(0.167367065388358), Macrophage M1_CIBERSORT(0.177764766443577) ) Pró-tumoral: -0.938196142023956 ( Cancer associated fibroblast_XCELL(-0.243814968722285), Endothelial cell_XCELL(-0.225283102289693), Cancer associated fibroblast_XCELL(-0.243814968722285), Endothelial cell_XCELL(-0.225283102289693) ) Dualista: -0.42550304525427 ( Hematopoietic stem cell_XCELL(-0.262127350653397), Mast cell activated_CIBERSORT(-0.372931863594574), T cell CD4+ Th2_XCELL(0.422307691620836), Hematopoietic stem cell_XCELL(-0.262127350653397), Mast cell activated_CIBERSORT(-0.372931863594574), T cell CD4+ Th2_XCELL(0.422307691620836) )
hsa-let-7d-5p	ESCA	Overexpression			NS	No data
hsa-let-7d-5p	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.303628858693386 ( Common lymphoid progenitor_XCELL(0.303628858693386) ) Pró-tumoral: 0 (  ) Dualista: -0.04426616017296 ( Macrophage M0_CIBERSORT(-0.317038880176765), T cell CD4+ Th2_XCELL(0.272772720003805) )
hsa-let-7d-5p	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.397969204749949 ( T cell CD4+ Th1_XCELL(0.397969204749949) ) Pró-tumoral: -0.400567642585499 ( Cancer associated fibroblast_XCELL(-0.400567642585499) ) Dualista: -0.53231894669697 ( Hematopoietic stem cell_XCELL(-0.395608637286209), Mast cell activated_CIBERSORT(-0.410834884168949), T cell CD4+ Th2_XCELL(0.274124574758188) )
hsa-let-7e-3p	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.323668705110689 ( Hematopoietic stem cell_XCELL(0.323668705110689) )
hsa-let-7e-3p	HNSC	Unchanged	Frio	T cell CD8+_CIBERSORT, -0.33658103363011, 3, Cold	dualista	Anti-tumoral: -0.33658103363011 ( T cell CD8+_CIBERSORT(-0.33658103363011) ) Pró-tumoral: 0 (  ) Dualista: 0.323774659730227 ( Macrophage M0_CIBERSORT(0.323774659730227) )
hsa-let-7e-3p	KICH	Underexpression			NS	No data
hsa-let-7e-3p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.616179804847384 ( Hematopoietic stem cell_XCELL(0.266260148501083), Class-switched memory B cell_XCELL(0.349919656346301) )
hsa-let-7e-3p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.480881355953837 ( Cancer associated fibroblast_XCELL(0.480881355953837) ) Dualista: -0.354936418691127 ( Hematopoietic stem cell_XCELL(0.354936418691127) )
hsa-let-7e-3p	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.289942320306052 ( Cancer associated fibroblast_XCELL(0.289942320306052) ) Dualista: -0.282306374961584 ( Hematopoietic stem cell_XCELL(0.282306374961584) )
hsa-let-7e-3p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7e-3p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.277941691904296 ( Common lymphoid progenitor_XCELL(-0.277941691904296) ) Pró-tumoral: -0.380928946045056 ( Cancer associated fibroblast_XCELL(0.380928946045056) ) Dualista: -0.328577510365396 ( Hematopoietic stem cell_XCELL(0.328577510365396) )
hsa-let-7e-5p	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.333504133029615 ( Endothelial cell_XCELL(0.333504133029615) ) Dualista: -0.332492744525835 ( Hematopoietic stem cell_XCELL(0.332492744525835) )
hsa-let-7e-5p	HNSC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.562603978018167 ( Cancer associated fibroblast_XCELL(0.269050535073524), Endothelial cell_XCELL(0.293553442944643) ) Dualista: -0.048563039731571 ( T cell follicular helper_CIBERSORT(-0.290753829330421), T cell CD4+ memory resting_CIBERSORT(0.24219078959885) )
hsa-let-7e-5p	LIHC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.38880914161265 ( Cancer associated fibroblast_XCELL(0.38880914161265) ) Dualista: 0 (  )
hsa-let-7e-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0.309712186835397 ( Common lymphoid progenitor_XCELL(-0.309712186835397) ) Pró-tumoral: 0 (  ) Dualista: 0.35471070206801 ( T cell CD4+ Th2_XCELL(-0.35471070206801) )
hsa-let-7e-5p	OV	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7e-5p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.486109307426254 ( T cell CD4+ Th2_XCELL(-0.486109307426254) )
hsa-let-7f-1-3p	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.327393779447316 ( T cell CD4+ Th1_XCELL(0.327393779447316) ) Pró-tumoral: -0.344459666426089 ( Cancer associated fibroblast_XCELL(-0.344459666426089) ) Dualista: -0.763684703420793 ( Mast cell activated_CIBERSORT(-0.385495254085835), Hematopoietic stem cell_XCELL(-0.378189449334958) )
hsa-let-7f-1-3p	THYM	Unchanged	Frio	Macrophage M1_CIBERSORT, -0.556557599544284, 1, Cold	anti-tumoral	Anti-tumoral: 0.515525727017948 ( Macrophage M1_CIBERSORT(-0.556557599544284), Common lymphoid progenitor_XCELL(0.540365316160185), T cell CD4+ Th1_XCELL(0.531718010402047) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-let-7g-3p	COAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.324320527812173 ( T cell CD4+ Th1_XCELL(0.324320527812173) ) Pró-tumoral: 0 (  ) Dualista: -0.368803696529429 ( Hematopoietic stem cell_XCELL(-0.368803696529429) )
hsa-let-7g-5p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.202044324542285 ( T cell CD4+ memory activated_CIBERSORT(0.202044324542285) ) Pró-tumoral: -0.176430901068651 ( Cancer associated fibroblast_XCELL(-0.176430901068651) ) Dualista: -0.231825426907774 ( Hematopoietic stem cell_XCELL(-0.169630758591426), Mast cell activated_CIBERSORT(-0.305596446773397), T cell CD4+ Th2_XCELL(0.243401778457049) )
hsa-let-7g-5p	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.30472830335225 ( T cell CD4+ Th1_XCELL(0.30472830335225) ) Pró-tumoral: -0.298281825035024 ( Cancer associated fibroblast_XCELL(-0.298281825035024) ) Dualista: -0.310448833331896 ( Hematopoietic stem cell_XCELL(-0.310448833331896) )
hsa-miR-100-5p	BLCA	Underexpression	Variável	Macrophage M2_CIBERSORT, 0.283274020232866, 1, Variable	anti-tumoral	Anti-tumoral: 0.371628482940073 ( Myeloid dendritic cell activated_CIBERSORT(-0.371628482940073) ) Pró-tumoral: -0.805891555707184 ( Cancer associated fibroblast_XCELL(0.522617535474318), Macrophage M2_CIBERSORT(0.283274020232866) ) Dualista: -0.196067405112276 ( T cell follicular helper_CIBERSORT(-0.274446758998773), Hematopoietic stem cell_XCELL(0.470514164111049) )
hsa-miR-100-5p	CESC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.33059565462533 ( Cancer associated fibroblast_XCELL(0.33059565462533) ) Dualista: 0 (  )
hsa-miR-100-5p	COAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.350509314102071 ( T cell CD4+ Th1_XCELL(-0.350509314102071) ) Pró-tumoral: 0.359877165867441 ( Endothelial cell_XCELL(0.359877165867441) ) Dualista: 0.606975815251234 ( Hematopoietic stem cell_XCELL(0.606975815251234) )
hsa-miR-100-5p	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.346526545998435 ( Cancer associated fibroblast_XCELL(0.346526545998435) ) Dualista: -0.318956604600026 ( Hematopoietic stem cell_XCELL(0.318956604600026) )
hsa-miR-100-5p	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-101-3p	BRCA	Underexpression	Variável	"c(""""T cell CD8+_CIBERSORT"""", """"Macrophage M2_CIBERSORT"""", """"T cell CD8+_CIBERSORT"""", """"Macrophage M2_CIBERSORT""""), c(0.243159772692531, -0.184477223602991, 0.243159772692531, -0.184477223602991), c(3, 1, 3, 1), c(""""Variable"""", """"Variable"""", """"Variable"""", """"Variable"""")"	dualista	Anti-tumoral: -0.486319545385062 ( T cell CD8+_CIBERSORT(0.243159772692531), T cell CD8+_CIBERSORT(0.243159772692531) ) Pró-tumoral: -0.028432302452132 ( Cancer associated fibroblast_XCELL(0.198693374829057), Macrophage M2_CIBERSORT(-0.184477223602991), Cancer associated fibroblast_XCELL(0.198693374829057), Macrophage M2_CIBERSORT(-0.184477223602991) ) Dualista: 0.357608728792958 ( T cell CD4+ Th2_XCELL(-0.231105405629871), Hematopoietic stem cell_XCELL(0.231505600022827), Macrophage M0_CIBERSORT(-0.179204558789435), T cell CD4+ Th2_XCELL(-0.231105405629871), Hematopoietic stem cell_XCELL(0.231505600022827), Macrophage M0_CIBERSORT(-0.179204558789435) )
hsa-miR-101-3p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.618695870491315 ( Class-switched memory B cell_XCELL(0.268078203061207), Hematopoietic stem cell_XCELL(0.350617667430108) )
hsa-miR-101-5p	TGCT	Unchanged	Frio	Macrophage M2_CIBERSORT, -0.577469768239086, 1, Cold	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -1.62634758471617 ( Cancer associated fibroblast_XCELL(-0.506463788305232), Endothelial cell_XCELL(-0.542414028171851), Macrophage M2_CIBERSORT(-0.577469768239086) ) Dualista: 0.561485276206632 ( Class-switched memory B cell_XCELL(0.546916134760222), T cell CD4+ Th2_XCELL(0.451150821868921), Hematopoietic stem cell_XCELL(-0.436581680422511) )
